Date,Individuals Positive - 14 Day Rolling Total,Individuals Positive - Daily Total
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,4
2020-03-08,4,4
2020-03-09,8,5
2020-03-10,13,2
2020-03-11,15,2
2020-03-12,17,2
2020-03-13,19,6
2020-03-14,25,2
2020-03-15,27,1
2020-03-16,28,20
2020-03-17,48,22
2020-03-18,70,26
2020-03-19,96,28
2020-03-20,124,26
2020-03-21,150,15
2020-03-22,161,18
2020-03-23,175,52
2020-03-24,222,56
2020-03-25,276,65
2020-03-26,339,64
2020-03-27,401,69
2020-03-28,464,40
2020-03-29,502,36
2020-03-30,537,114
2020-03-31,631,78
2020-04-01,687,83
2020-04-02,744,83
2020-04-03,799,94
2020-04-04,867,54
2020-04-05,906,66
2020-04-06,954,131
2020-04-07,1033,116
2020-04-08,1093,112
2020-04-09,1140,114
2020-04-10,1190,241
2020-04-11,1362,73
2020-04-12,1395,56
2020-04-13,1415,200
2020-04-14,1501,154
2020-04-15,1577,182
2020-04-16,1676,490
2020-04-17,2083,501
2020-04-18,2490,175
2020-04-19,2611,169
2020-04-20,2714,507
2020-04-21,3090,449
2020-04-22,3423,528
2020-04-23,3839,465
2020-04-24,4190,683
2020-04-25,4632,1279
2020-04-26,5838,161
2020-04-27,5943,561
2020-04-28,6304,658
2020-04-29,6808,525
2020-04-30,7151,447
2020-05-01,7108,397
2020-05-02,7004,174
2020-05-03,7003,124
2020-05-04,6958,601
2020-05-05,7052,513
2020-05-06,7116,372
2020-05-07,6960,366
2020-05-08,6861,340
2020-05-09,6518,121
2020-05-10,5360,118
2020-05-11,5317,436
2020-05-12,5192,405
2020-05-13,4939,306
2020-05-14,4720,350
2020-05-15,4623,313
2020-05-16,4539,148
2020-05-17,4513,122
2020-05-18,4511,786
2020-05-19,4696,635
2020-05-20,4818,442
2020-05-21,4888,477
2020-05-22,4999,308
2020-05-23,4967,119
2020-05-24,4965,100
2020-05-25,4947,88
2020-05-26,4599,468
2020-05-27,4662,394
2020-05-28,4750,437
2020-05-29,4837,359
2020-05-30,4883,121
2020-05-31,4856,76
2020-06-01,4810,476
2020-06-02,4500,334
2020-06-03,4199,382
2020-06-04,4139,340
2020-06-05,4002,357
2020-06-06,4051,90
2020-06-07,4022,56
2020-06-08,3978,477
2020-06-09,4367,311
2020-06-10,4210,328
2020-06-11,4144,266
2020-06-12,3973,269
2020-06-13,3883,77
2020-06-14,3839,55
2020-06-15,3818,442
2020-06-16,3784,363
2020-06-17,3813,374
2020-06-18,3805,344
2020-06-19,3809,456
2020-06-20,3908,104
2020-06-21,3922,81
2020-06-22,3947,551
2020-06-23,4021,486
2020-06-24,4196,422
2020-06-25,4290,476
2020-06-26,4500,449
2020-06-27,4680,159
2020-06-28,4762,168
2020-06-29,4875,697
2020-06-30,5130,683
2020-07-01,5450,572
2020-07-02,5648,683
2020-07-03,5987,247
2020-07-04,5778,99
2020-07-05,5773,200
2020-07-06,5892,763
2020-07-07,6104,721
2020-07-08,6339,812
2020-07-09,6729,763
2020-07-10,7016,558
2020-07-11,7125,209
2020-07-12,7175,201
2020-07-13,7208,781
2020-07-14,7292,625
2020-07-15,7234,655
2020-07-16,7317,556
2020-07-17,7190,513
2020-07-18,7456,150
2020-07-19,7507,132
2020-07-20,7439,737
2020-07-21,7413,577
2020-07-22,7269,583
2020-07-23,7040,579
2020-07-24,6856,548
2020-07-25,6846,133
2020-07-26,6770,143
2020-07-27,6712,732
2020-07-28,6663,585
2020-07-29,6623,596
2020-07-30,6564,621
2020-07-31,6629,538
2020-08-01,6654,136
2020-08-02,6640,129
2020-08-03,6637,828
2020-08-04,6728,677
2020-08-05,6828,533
2020-08-06,6778,521
2020-08-07,6720,537
2020-08-08,6709,184
2020-08-09,6760,154
2020-08-10,6771,645
2020-08-11,6684,540
2020-08-12,6639,692
2020-08-13,6735,676
2020-08-14,6790,677
2020-08-15,6929,203
2020-08-16,6996,181
2020-08-17,7048,1016
2020-08-18,7236,765
2020-08-19,7324,785
2020-08-20,7576,736
2020-08-21,7791,774
2020-08-22,8028,284
2020-08-23,8128,322
2020-08-24,8296,1435
2020-08-25,9086,1222
2020-08-26,9768,1234
2020-08-27,10310,1192
2020-08-28,10826,1188
2020-08-29,11337,298
2020-08-30,11432,275
2020-08-31,11526,1176
2020-09-01,11686,960
2020-09-02,11881,1130
2020-09-03,12226,922
2020-09-04,12412,902
2020-09-05,12540,238
2020-09-06,12494,241
2020-09-07,12413,273
2020-09-08,11251,1233
2020-09-09,11262,899
2020-09-10,10927,861
2020-09-11,10596,905
2020-09-12,10313,229
2020-09-13,10244,243
2020-09-14,10212,1572
2020-09-15,10608,991
2020-09-16,10639,1027
2020-09-17,10536,982
2020-09-18,10596,1026
2020-09-19,10720,321
2020-09-20,10803,274
2020-09-21,10836,1420
2020-09-22,11983,1210
2020-09-23,11960,1046
2020-09-24,12107,928
2020-09-25,12174,942
2020-09-26,12211,274
2020-09-27,12256,247
2020-09-28,12260,1468
2020-09-29,12156,993
2020-09-30,12158,959
2020-10-01,12090,878
2020-10-02,11986,886
2020-10-03,11846,355
2020-10-04,11880,291
2020-10-05,11897,1675
2020-10-06,12152,1211
2020-10-07,12153,1255
2020-10-08,12362,1221
2020-10-09,12655,1198
2020-10-10,12911,364
2020-10-11,13001,347
2020-10-12,13101,1940
2020-10-13,13573,1327
2020-10-14,13907,1260
2020-10-15,14208,1236
2020-10-16,14566,1129
2020-10-17,14809,371
2020-10-18,14825,334
2020-10-19,14868,1985
2020-10-20,15178,1416
2020-10-21,15383,1590
2020-10-22,15718,1693
2020-10-23,16190,1572
2020-10-24,16564,634
2020-10-25,16834,552
2020-10-26,17039,3181
2020-10-27,18280,2526
2020-10-28,19479,2640
2020-10-29,20859,3033
2020-10-30,22656,2834
2020-10-31,24361,1142
2020-11-01,25132,1162
2020-11-02,25960,5372
2020-11-03,29347,4927
2020-11-04,32858,5022
2020-11-05,36290,5240
2020-11-06,39837,4879
2020-11-07,43144,2097
2020-11-08,44607,1881
2020-11-09,45936,7544
2020-11-10,50299,5518
2020-11-11,53291,4484
2020-11-12,55135,5438
2020-11-13,57540,4326
2020-11-14,59032,1567
2020-11-15,59457,1355
2020-11-16,59650,6175
2020-11-17,60453,4700
2020-11-18,60226,4137
2020-11-19,59341,3883
2020-11-20,57984,3546
2020-11-21,56651,1302
2020-11-22,55856,1123
2020-11-23,55098,4393
2020-11-24,51947,3012
2020-11-25,49441,2718
2020-11-26,47675,351
2020-11-27,42588,2517
2020-11-28,40779,1106
2020-11-29,40318,886
2020-11-30,39849,4130
2020-12-01,37804,2871
2020-12-02,35975,2312
2020-12-03,34150,2259
2020-12-04,32526,1985
2020-12-05,30965,822
2020-12-06,30485,609
2020-12-07,29971,2969
2020-12-08,28547,2037
2020-12-09,27572,1753
2020-12-10,26607,1842
2020-12-11,28098,1609
2020-12-12,27190,518
2020-12-13,26602,554
2020-12-14,26270,2607
2020-12-15,24747,1751
2020-12-16,23627,1662
2020-12-17,22977,1584
2020-12-18,22302,1474
2020-12-19,21791,614
2020-12-20,21583,544
2020-12-21,21518,2455
2020-12-22,21004,1593
2020-12-23,20560,1320
2020-12-24,20127,927
2020-12-25,19212,158
2020-12-26,17761,925
2020-12-27,18168,635
2020-12-28,18249,2714
2020-12-29,18356,1368
2020-12-30,17973,1879
2020-12-31,18190,1575
2021-01-01,18181,350
2021-01-02,17057,1028
2021-01-03,17471,714
2021-01-04,17641,3312
2021-01-05,18498,2012
2021-01-06,18917,1774
2021-01-07,19371,1555
2021-01-08,19999,1588
2021-01-09,21429,533
2021-01-10,21037,532
2021-01-11,20934,2325
2021-01-12,20545,1402
2021-01-13,20579,1323
2021-01-14,20023,1265
2021-01-15,19713,820
2021-01-16,20183,589
2021-01-17,19744,399
2021-01-18,19429,1542
2021-01-19,17659,1589
2021-01-20,17236,1153
2021-01-21,16615,1198
2021-01-22,16258,1115
2021-01-23,15785,466
2021-01-24,15718,384
2021-01-25,15570,1356
2021-01-26,14601,833
2021-01-27,14032,1192
2021-01-28,13901,985
2021-01-29,13621,982
2021-01-30,13783,391
2021-01-31,13585,320
2021-02-01,13506,1412
2021-02-02,13376,942
2021-02-03,12729,857
2021-02-04,12433,454
2021-02-05,11689,790
2021-02-06,11364,287
2021-02-07,11185,269
2021-02-08,11070,1163
2021-02-09,10877,759
2021-02-10,10803,693
2021-02-11,10304,520
2021-02-12,9839,129
2021-02-13,8986,3
